video_id,identity_id,events_path,dvs_avi_path
--aqjaJyZLk_0,--aqjaJyZLk_0,C:\Users\sofya\Desktop\rp code\data\event_videos\--aqjaJyZLk_0\events.h5,
--Jiv5iYqT8_0,--Jiv5iYqT8_0,C:\Users\sofya\Desktop\rp code\data\event_videos\--Jiv5iYqT8_0\events.h5,
--Jiv5iYqT8_1,--Jiv5iYqT8_1,C:\Users\sofya\Desktop\rp code\data\event_videos\--Jiv5iYqT8_1\events.h5,
--Jiv5iYqT8_2,--Jiv5iYqT8_2,C:\Users\sofya\Desktop\rp code\data\event_videos\--Jiv5iYqT8_2\events.h5,
--oCWVOBuvA_0,--oCWVOBuvA_0,C:\Users\sofya\Desktop\rp code\data\event_videos\--oCWVOBuvA_0\events.h5,
--QCZKgJt6o_0,--QCZKgJt6o_0,C:\Users\sofya\Desktop\rp code\data\event_videos\--QCZKgJt6o_0\events.h5,
--uyzf7X_0c_0,--uyzf7X_0c_0,C:\Users\sofya\Desktop\rp code\data\event_videos\--uyzf7X_0c_0\events.h5,
--uyzf7X_0c_1,--uyzf7X_0c_1,C:\Users\sofya\Desktop\rp code\data\event_videos\--uyzf7X_0c_1\events.h5,
--xLdkFg5O0_15_0,--xLdkFg5O0_15_0,C:\Users\sofya\Desktop\rp code\data\event_videos\--xLdkFg5O0_15_0\events.h5,
-0fMjAGBbuE_17_0,-0fMjAGBbuE_17_0,C:\Users\sofya\Desktop\rp code\data\event_videos\-0fMjAGBbuE_17_0\events.h5,
